date,platform,content_type,post_id,followers,impressions,likes,shares,comments,ad_spend_usd,hashtag,clicks,revenue_usd,leads,customers,avg_order_value,avg_orders_per_year,avg_cust_lifespan
23-02-2024,Twitter,Story,POST00069,20539,612,742,443,43,61.41,#branding,32,175.35,332,247,120.88,9,3.63
25-05-2024,LinkedIn,Story,POST00070,12777,87551,1758,684,416,323.73,#marketing,8691,1853.84,145,266,28.05,3,3.01
13-02-2024,LinkedIn,Video,POST00071,35396,20081,3934,557,268,417.99,#digital,3674,1411.62,311,470,102.59,1,3.42
10-06-2024,Facebook,Image,POST00072,31373,60222,433,839,77,290.79,#socialmedia,9863,1254.69,332,154,113.66,6,3.62
14-01-2024,Twitter,Video,POST00073,34154,92536,3488,235,215,324.97,#growth,3346,1263.31,101,257,194.29,5,2.09
04-04-2024,Twitter,Reel,POST00074,7031,98062,1601,438,381,231.89,#digital,7259,825.56,458,241,76.85,2,4.08
17-02-2024,TikTok,Story,POST00075,28997,17023,4495,213,97,266.71,#marketing,994,1141.13,88,77,72.94,2,3.8
15-01-2024,LinkedIn,Video,POST00076,7439,67460,4447,84,235,22.02,#branding,7463,120.38,373,226,109.17,1,3.87
09-02-2024,Twitter,Image,POST00077,23785,20052,4719,793,281,321.29,#growth,3739,1204.79,363,131,31.57,11,4.01
22-03-2024,Facebook,Video,POST00078,14392,11308,502,743,148,45.32,#socialmedia,1283,136.7,427,365,42.8,5,1.5
20-04-2024,Facebook,Live,POST00079,29669,73025,201,84,411,220.33,#digital,10242,380.65,295,45,179.82,11,4.53
22-02-2024,Twitter,Image,POST00080,29939,24120,508,920,303,149.86,#digital,498,331.65,430,44,24.09,1,3.02
24-01-2024,LinkedIn,Reel,POST00081,3282,1387,4927,488,483,274.99,#growth,212,1249.01,448,274,149.33,5,4.04
02-06-2024,Facebook,Story,POST00082,35624,32302,1266,64,423,71.04,#marketing,3455,260.64,343,110,58.75,1,1.06
03-05-2024,TikTok,Video,POST00083,49438,85524,1978,645,65,347.36,#socialmedia,10943,882.59,97,271,125.46,11,1.77
10-02-2024,Facebook,Image,POST00084,25364,96049,4332,662,233,398.53,#growth,18898,2353.57,134,208,92.95,10,1.57
05-06-2024,Instagram,Live,POST00085,2998,82438,2196,626,456,85.86,#branding,1547,263.15,175,248,46.83,2,4.92
15-01-2024,Instagram,Image,POST00086,32705,87241,826,63,86,56.63,#socialmedia,8786,185,133,233,195.91,10,2.66
14-02-2024,LinkedIn,Live,POST00087,39244,26549,3230,342,78,77.03,#digital,3413,296.09,468,43,148.96,11,2.29
05-03-2024,Twitter,Reel,POST00088,10428,78289,1483,938,204,439.18,#growth,8460,1965.75,285,33,67.24,1,2.6
29-03-2024,LinkedIn,Story,POST00089,38437,85026,1096,874,278,266.45,#digital,6502,1453.2,403,288,182.16,8,4.65
11-03-2024,LinkedIn,Reel,POST00090,13336,8346,4209,918,336,236.29,#digital,1003,525.95,216,211,189.76,9,4.11
09-01-2024,LinkedIn,Video,POST00091,10342,91063,1884,351,253,57.82,#digital,11101,110.48,495,447,142.23,5,3.23
28-03-2024,LinkedIn,Image,POST00092,40832,46720,880,157,303,326.53,#marketing,1401,1274.29,482,87,27.68,1,3.74
08-05-2024,TikTok,Live,POST00093,8446,46663,4773,588,379,434.66,#digital,8398,2134.25,218,437,145.93,8,2.25
15-05-2024,TikTok,Live,POST00094,39392,4265,2052,490,129,414.95,#branding,487,1106.67,275,142,134.53,1,1.38
03-03-2024,Facebook,Image,POST00095,8461,81986,282,657,83,314.9,#branding,425,1610.42,164,461,139.95,6,2.69
18-05-2024,Instagram,Image,POST00096,35587,45770,1039,854,275,42.26,#socialmedia,4715,220.43,195,328,125.05,10,2.05
21-03-2024,LinkedIn,Video,POST00097,11516,75777,3228,462,186,60.64,#digital,5928,236.26,269,298,76.46,3,4.97
15-05-2024,Facebook,Reel,POST00098,14749,88778,4079,224,45,29.41,#digital,6153,131.9,366,77,140.68,7,4.46
11-06-2024,Instagram,Live,POST00099,18514,90739,1061,916,386,132.45,#growth,2321,362.82,247,434,68.83,6,1.95
11-06-2024,Twitter,Video,POST00100,36426,23431,4043,312,182,72.15,#marketing,4058,418.75,492,227,85.58,11,4.58
02-02-2024,TikTok,Reel,POST00101,37268,89616,1583,614,267,133.72,#socialmedia,216,382.65,68,220,56.3,9,3.41
02-05-2024,Instagram,Video,POST00102,25950,56133,3200,918,295,195.6,#digital,2884,569.73,116,104,58.15,5,3.56
05-01-2024,Twitter,Live,POST00103,35888,81202,4398,858,321,471.78,#growth,3008,2739.43,207,281,114.03,3,4.57
10-02-2024,Instagram,Image,POST00104,37788,52413,3807,812,99,307.14,#marketing,3452,1733.89,481,389,137.57,2,4.58
28-01-2024,TikTok,Image,POST00105,11213,95276,3299,939,77,418.31,#socialmedia,3308,1131.81,382,176,89.57,10,2.79
14-05-2024,TikTok,Reel,POST00106,37027,26491,3757,465,271,356.62,#socialmedia,3888,1963.65,162,321,196.87,4,1.26
12-03-2024,Facebook,Story,POST00107,29011,55345,2115,87,338,60.69,#digital,5685,336.44,338,136,182.74,9,1.99
12-01-2024,LinkedIn,Reel,POST00108,43849,99005,317,882,161,369.28,#socialmedia,11220,785.19,481,146,110.02,5,1.82
10-06-2024,Instagram,Story,POST00109,35591,55812,3369,302,43,141.17,#growth,4329,471.98,223,150,144.37,11,2.25
02-02-2024,Instagram,Video,POST00110,18858,11061,3186,679,237,321.36,#socialmedia,583,1289.61,124,296,159.77,5,1.67
17-02-2024,Twitter,Video,POST00111,19626,17401,1261,434,133,173.78,#branding,878,399.64,74,145,67.95,8,1.16
30-05-2024,TikTok,Live,POST00112,14467,96056,2757,681,460,498.85,#growth,1427,770.59,114,353,124.12,9,3.38
02-03-2024,Instagram,Story,POST00113,40758,63375,1527,134,191,135.46,#marketing,9575,260.57,490,88,73.03,2,2.18
06-02-2024,TikTok,Live,POST00114,4134,26417,1388,49,355,143.17,#marketing,1787,499.21,216,188,72.59,2,3.54
08-04-2024,Instagram,Image,POST00115,17743,62620,4901,431,277,465.68,#digital,12365,967.79,310,58,198.79,10,2.64
20-06-2024,Facebook,Story,POST00116,16434,2488,1971,339,17,17.2,#digital,211,43.8,132,233,167.1,7,1.74
13-04-2024,LinkedIn,Reel,POST00117,48775,14756,4315,346,11,349.86,#branding,1814,1097.43,454,182,67.53,3,3.93
04-02-2024,Instagram,Image,POST00118,11233,88228,2873,645,179,364.04,#marketing,2167,1622.91,58,185,70.69,10,1.57
10-04-2024,TikTok,Image,POST00119,2141,28730,2666,346,122,419.01,#marketing,1131,1096.1,275,247,95.37,4,4.99
23-06-2024,Facebook,Reel,POST00120,19019,60278,2504,648,245,487.35,#marketing,11933,1469.35,331,162,24.11,11,3.02
10-05-2024,Instagram,Image,POST00121,21384,46333,4577,244,221,487.92,#marketing,4988,1720.33,248,223,119.86,11,2.64
01-01-2024,Twitter,Story,POST00122,43903,23125,4015,108,372,37.31,#socialmedia,3974,65.85,163,384,108.34,4,4.22
05-01-2024,LinkedIn,Live,POST00123,46734,32588,3573,824,50,411.81,#growth,5226,1692.95,269,205,57.85,11,2.23
21-05-2024,Instagram,Image,POST00124,37129,80150,932,798,487,324.92,#growth,14596,1363.12,436,412,33.95,8,4.22
12-04-2024,Facebook,Story,POST00125,23967,41667,4242,532,70,325.43,#branding,7694,936.92,186,90,25.43,9,2.84
27-01-2024,Twitter,Video,POST00126,41603,71791,4472,89,479,68.53,#socialmedia,12759,226.06,240,363,116.98,7,2.69
16-05-2024,Facebook,Story,POST00127,12172,65803,2969,295,47,326.84,#marketing,1776,536.29,394,169,65.25,5,4.44
15-01-2024,Facebook,Live,POST00128,17390,76861,193,111,18,491.33,#marketing,4266,1771.12,435,280,64.81,6,4.11
30-03-2024,Twitter,Story,POST00129,4267,88729,3368,812,261,456.35,#digital,3796,735.4,265,363,93.28,6,2.46
11-02-2024,Facebook,Reel,POST00130,40332,4617,1408,588,83,222.37,#digital,815,650.31,379,53,55.41,1,2.91
03-05-2024,Twitter,Live,POST00131,27167,90765,2806,176,154,24.77,#branding,16492,49.63,144,366,115.97,6,4.38
27-06-2024,Instagram,Video,POST00132,22312,98218,546,342,52,184.34,#marketing,3211,559.45,389,181,25.27,10,1.27
03-03-2024,Twitter,Reel,POST00133,28840,61210,1283,659,106,414.06,#branding,295,2390.55,354,327,31.46,10,3.95
05-04-2024,Twitter,Story,POST00134,19990,94926,2977,100,356,352.24,#socialmedia,6381,1017.67,177,251,58.39,9,2.42
21-02-2024,LinkedIn,Live,POST00135,45179,95376,3059,757,303,232.38,#growth,936,1265.17,69,80,125.5,1,2.7
05-04-2024,Twitter,Video,POST00136,6906,67554,1106,628,134,32.28,#marketing,5456,69.83,364,202,65.95,1,2.14
11-05-2024,Twitter,Reel,POST00137,49796,31449,1315,603,442,216.31,#socialmedia,4162,958.18,107,208,162.19,3,4.47
30-05-2024,Instagram,Video,POST00138,41379,23047,925,400,68,237.17,#marketing,2949,1408.31,289,176,21.26,9,3.03
22-05-2024,LinkedIn,Story,POST00139,18297,82382,3091,27,10,464.63,#digital,15904,1716.45,207,387,168.87,9,4.75
19-06-2024,TikTok,Video,POST00140,3011,68636,4257,936,142,322.34,#branding,84,1520.57,265,456,192.07,1,2.77
29-01-2024,Instagram,Image,POST00141,45014,65119,1038,961,191,159.27,#digital,10793,351.49,156,278,79.63,4,3.18
05-02-2024,Instagram,Reel,POST00142,47558,62342,1987,536,386,265.03,#growth,12426,613.33,170,349,129,8,4.64
13-01-2024,TikTok,Video,POST00143,12738,95303,3364,57,377,37.7,#digital,7770,181.37,473,368,168.32,6,3.51
08-06-2024,Twitter,Story,POST00144,29797,27490,2521,497,68,486.42,#marketing,2561,1233.24,265,329,155.25,11,4.5
11-03-2024,Facebook,Story,POST00145,48498,16693,280,296,22,183.23,#digital,2708,896.29,277,89,154.77,11,3.07
26-03-2024,LinkedIn,Video,POST00146,12120,30609,1196,133,180,241.54,#marketing,901,688.21,328,406,62.69,5,4.04
28-01-2024,Facebook,Story,POST00147,9767,19733,4565,330,292,180.87,#growth,2547,676.78,477,264,85.17,4,2.94
06-03-2024,TikTok,Live,POST00148,23852,82230,4210,248,8,342.84,#digital,16380,845.39,425,293,74.07,10,2.39
18-06-2024,Instagram,Live,POST00149,14703,35010,3774,549,270,332.8,#branding,1388,978.83,152,49,177.77,7,2.66
14-02-2024,Instagram,Live,POST00150,1929,1806,2408,901,386,359.08,#branding,343,691.19,336,264,122.58,3,1.65
02-03-2024,LinkedIn,Image,POST00151,12951,4349,4539,940,92,137.73,#branding,686,612.01,452,238,70.61,6,2.48
13-05-2024,Instagram,Video,POST00152,27039,12860,4245,74,453,161.26,#digital,137,429.31,62,373,151.06,3,4.59
28-01-2024,Instagram,Image,POST00153,49613,95267,4192,653,16,67,#digital,8691,283.39,338,307,34.29,6,1.3
28-01-2024,LinkedIn,Story,POST00154,30504,46300,1721,833,153,329.48,#digital,4844,1124,120,247,70.34,10,1.97
17-04-2024,LinkedIn,Image,POST00155,18438,37463,2240,167,404,24.7,#marketing,1334,103.1,415,222,143.54,9,2.7
13-02-2024,TikTok,Story,POST00156,49515,54830,138,770,327,300.85,#growth,4213,1279.23,348,430,172.96,1,1.17
24-03-2024,Instagram,Story,POST00157,6744,52207,1279,502,148,435.5,#branding,5985,1035.21,164,409,62.59,6,3.97
30-01-2024,Instagram,Reel,POST00158,19284,19189,3682,884,376,445.96,#marketing,450,936.08,465,481,42.68,9,4.35
15-03-2024,TikTok,Live,POST00159,43417,29584,1611,354,266,227.27,#branding,1066,1252.32,212,201,83.05,1,3.15
07-05-2024,Twitter,Story,POST00160,40748,40887,4775,224,421,232.36,#marketing,3128,1285.54,321,428,58.03,4,3.19
01-04-2024,Twitter,Reel,POST00161,8069,75316,3980,663,327,43.1,#digital,10358,68.91,433,291,110.28,2,3.12
08-05-2024,Twitter,Live,POST00162,43359,3142,4254,530,105,337.03,#branding,464,611.66,131,23,143.81,7,3.87
30-04-2024,TikTok,Story,POST00163,20799,42637,4957,145,471,411.52,#digital,7844,1009.84,330,241,84.62,6,2.63
27-01-2024,Instagram,Story,POST00164,34210,80332,637,959,380,126.1,#branding,10225,594.83,113,250,124.94,1,4.73
30-04-2024,TikTok,Image,POST00165,29226,56061,3807,240,34,213.54,#socialmedia,7977,417.4,393,297,74.74,7,1.71
25-04-2024,TikTok,Image,POST00166,5652,62760,2054,883,118,420.23,#marketing,11686,751.92,445,185,180.19,3,2.54
03-01-2024,Twitter,Live,POST00167,25323,15938,3562,892,13,439.17,#socialmedia,280,1106.81,157,364,141.31,8,3.34
12-04-2024,Facebook,Story,POST00168,43138,48942,4989,343,13,125.37,#marketing,8760,696.55,242,245,156.84,6,2.9
03-06-2024,Instagram,Video,POST00169,8597,3494,2351,748,265,277.53,#growth,236,607.8,245,129,196.18,3,2.71
16-05-2024,Twitter,Image,POST00170,48093,2313,3224,34,139,100.28,#branding,91,323.78,253,29,26.76,11,2.83
02-03-2024,Facebook,Live,POST00171,38226,93527,259,701,293,55.43,#growth,4489,193.95,388,454,32.44,5,1.23
13-06-2024,Facebook,Story,POST00172,7591,84881,2935,0,363,456,#growth,12781,2062.73,391,192,75.9,1,3.42
20-02-2024,LinkedIn,Story,POST00173,26833,55776,984,995,118,411.15,#marketing,5744,951.74,222,342,36.69,11,2.33
20-06-2024,Instagram,Video,POST00174,12826,41743,1335,152,237,381.22,#socialmedia,4961,1229.18,425,113,31.3,6,1.37
31-05-2024,Facebook,Live,POST00175,27417,63412,993,428,33,29.14,#digital,7548,160.17,109,445,199.31,5,4.64
28-02-2024,Twitter,Story,POST00176,19693,60772,898,944,168,422.65,#marketing,12113,1483.94,112,257,80.59,6,4.49
27-04-2024,LinkedIn,Image,POST00177,15138,42551,2947,507,9,221.83,#digital,7940,1063.71,315,332,192.77,7,1.52
08-06-2024,Instagram,Video,POST00178,3169,79354,2127,125,121,174.49,#growth,1309,900.94,423,351,187.91,5,2.69
05-04-2024,TikTok,Live,POST00179,19556,83236,2682,490,400,275.51,#digital,12119,1409.15,182,254,179.45,2,4.55
28-06-2024,Twitter,Video,POST00180,23052,66118,4980,481,144,50.22,#socialmedia,2752,290.12,277,313,23.97,10,3.47
22-04-2024,Facebook,Image,POST00181,7313,2420,1336,344,450,379.54,#marketing,58,1691.55,283,246,102.96,5,2.8
02-03-2024,Facebook,Live,POST00182,9315,77719,480,911,445,293.31,#socialmedia,5544,645.08,441,389,115.26,9,2.96
21-02-2024,Twitter,Video,POST00183,9036,77372,1997,737,222,97.36,#socialmedia,15311,203.17,161,236,114.02,4,1.92
12-01-2024,Facebook,Reel,POST00184,32778,81632,100,220,370,98.17,#marketing,1733,419.95,365,153,29.65,3,3.81
08-02-2024,LinkedIn,Image,POST00185,28734,2593,539,914,256,96.2,#socialmedia,321,296.56,293,143,118.46,11,1.09
09-05-2024,Instagram,Image,POST00186,24173,13405,4766,918,267,33.22,#branding,137,190.79,411,317,86.21,8,3.37
10-05-2024,LinkedIn,Image,POST00187,31403,24851,4069,722,358,295.96,#branding,3664,830.41,492,68,108.53,9,1.31
22-04-2024,Facebook,Reel,POST00188,1785,31481,4844,24,3,420.97,#branding,539,1587.59,80,357,128.44,6,2.38
10-04-2024,TikTok,Reel,POST00189,7139,74403,2783,527,425,13.66,#digital,14648,79.66,362,264,104.67,11,4.78
22-04-2024,Instagram,Story,POST00190,7344,71321,4977,181,396,29.26,#socialmedia,8149,139.05,300,246,87.11,8,3.45
21-03-2024,Instagram,Video,POST00191,19800,82789,1696,498,353,288.52,#marketing,9078,1229.62,213,441,138.09,11,1.53
22-04-2024,Twitter,Story,POST00192,26372,84521,201,840,105,410.65,#marketing,5504,644.06,255,147,106.39,10,2.04
02-01-2024,Twitter,Video,POST00193,21538,79013,1996,640,84,166.74,#digital,6247,496.27,85,228,52.05,5,4.15
09-05-2024,TikTok,Reel,POST00194,15973,20374,3633,41,213,178.06,#marketing,582,771.51,287,408,24.51,8,3.76
23-02-2024,Instagram,Reel,POST00195,6619,51431,2195,914,120,300.19,#branding,7920,1321.64,244,197,107.48,7,3.78
27-03-2024,TikTok,Story,POST00196,35704,8174,4450,480,131,140.74,#socialmedia,1608,498.48,446,320,29.96,7,1.19
08-05-2024,Twitter,Live,POST00197,37575,51016,1018,929,337,18.17,#marketing,3005,58.49,443,493,164.41,8,3.44
26-05-2024,Twitter,Story,POST00198,40919,95074,3793,847,196,368.94,#marketing,12065,1466.62,429,415,30.13,2,3.43
05-05-2024,Instagram,Video,POST00199,43261,61186,4308,747,18,314.7,#growth,11519,1235.84,71,473,98.79,9,1.04
09-05-2024,LinkedIn,Story,POST00200,46123,95351,4678,871,129,292.47,#growth,9460,517.1,348,279,55.29,2,2.95
22-02-2024,Facebook,Image,POST00201,28716,69712,4297,438,11,372.13,#growth,5197,2112.54,165,410,49.56,9,1.43
20-06-2024,Twitter,Video,POST00202,4236,2926,2062,401,80,339.24,#socialmedia,123,932.78,197,281,158.71,6,1.05
08-06-2024,Twitter,Video,POST00203,16848,90509,3318,545,329,106.91,#branding,11311,189.15,315,362,123.38,6,4.19
08-06-2024,LinkedIn,Live,POST00204,3352,68998,1726,344,353,179.48,#branding,8466,589.97,93,433,183.6,1,3.61
08-03-2024,LinkedIn,Reel,POST00205,2932,30443,320,892,261,67.42,#branding,366,295.9,454,473,31.39,6,3.75
02-05-2024,TikTok,Video,POST00206,11913,66895,4548,44,391,69.28,#socialmedia,7863,250.76,138,170,41.82,7,1.81
24-05-2024,TikTok,Reel,POST00207,9556,45316,1270,645,124,339.72,#socialmedia,7986,1178.47,148,55,66.47,10,1.15
07-02-2024,Facebook,Story,POST00208,22300,4638,4975,20,306,430.01,#growth,43,928.11,202,62,174.72,11,2.47
24-01-2024,Facebook,Image,POST00209,6498,91676,3942,633,266,481.55,#marketing,2364,2276.39,334,130,56.75,10,2.48
09-03-2024,Instagram,Live,POST00210,11582,76445,3278,69,446,316.03,#digital,4770,1596.58,184,253,33.99,1,1.83
25-04-2024,TikTok,Reel,POST00211,47633,4517,594,863,440,96.13,#digital,160,331.75,490,154,103.27,7,1.8
07-04-2024,Twitter,Video,POST00212,10569,10951,2809,872,382,57.3,#marketing,1716,227.06,165,201,57.32,1,3.97
18-05-2024,TikTok,Reel,POST00213,5857,63456,369,47,139,407.36,#growth,6451,827.9,318,343,30.98,5,4.86
23-05-2024,Twitter,Video,POST00214,1340,94363,2876,490,328,291.48,#marketing,8650,1629.37,231,453,80.44,6,2.77
06-04-2024,LinkedIn,Reel,POST00215,44949,10778,2021,550,1,311.05,#marketing,53,883.96,497,411,59.27,7,3.45
03-05-2024,TikTok,Video,POST00216,17766,90980,4949,286,7,391.82,#digital,1875,2024.86,226,254,186.84,7,4.56
10-03-2024,LinkedIn,Story,POST00217,27132,44264,4016,9,249,353.12,#growth,6767,1368.25,121,299,58.46,10,3.39
